Alloy,No,Phase,Phase1,a(Å),δ,T_m(K),σT_m(K),ΔH_mix(kJ/mol),σH_mix(kJ/mol),ΔS_mix(R),χ,Δχ,VEC,σVEC,K(GPa),σK(GPa),Young's modulus E (GPa),Shear modulus G (GPa)
AgZn3,2.0,IM,IM,1.4075,0.0153823339926188,828.2425,234.801137601056,-3.0,0.433012701892219,0.562335144618808,1.72,0.121243556529821,11.75,0.433012701892219,77.5,12.9903810567666,102.25,39.75
AgZr,2.0,IM,IM,1.524,0.0518372703412073,1681.465,446.535,-20.0,0.0,0.693147180559945,1.63,0.3,7.5,3.5,50.0,50.0,76.0,31.5
AlB12,2.0,IM,IM,0.867076923076923,0.188079328288175,2240.11307692308,377.19536609815,0.0,0.0,0.271189373041844,2.00692307692308,0.114581822654556,3.0,0.0,212.615384615385,39.4374645415683,5.38461538461539,2.0
AlB2,2.0,IM,IM,1.024,0.281737858129015,1877.15666666667,667.287241315329,0.0,0.0,0.636514168294813,1.89666666666667,0.202703943940144,3.0,0.0,174.666666666667,69.7678690770727,23.3333333333333,8.66666666666667
Al3Ca8,2.0,IM,IM,1.82763636363636,0.132562914850184,1065.49181818182,80.8465223649873,-15.8677685950413,1.8403378984096,0.585952618303551,1.16636363636364,0.271670680563225,2.27272727272727,0.445361771415123,33.0909090909091,26.2763445134923,33.6363636363636,12.4727272727273
Al4Ca,2.0,IM,IM,1.5408,0.14122533748702,969.776,72.612,-12.8,2.88,0.500402423538188,1.488,0.244,2.8,0.4,64.2,23.6,60.0,22.28
Al11Ce3,2.0,IM,IM,1.51621428571429,0.106355731855158,962.297857142857,55.2011437741972,-25.5918367346939,5.09139080043021,0.519579839130515,1.505,0.201059692628831,3.0,0.0,64.4285714285714,22.1575987795038,62.2857142857143,23.3214285714286
Al2Ce,2.0,IM,IM,1.563,0.118529735553983,978.313333333333,63.4180501820175,-33.7777777777778,1.99037464333991,0.636514168294813,1.44666666666667,0.230988215187606,3.0,0.0,58.0,25.4558441227157,58.0,21.8333333333333
AlCe1,2.0,IM,IM,1.6285,0.120663186981885,1000.735,67.265,-38.0,0.0,0.693147180559945,1.365,0.245,3.0,0.0,49.0,27.0,52.0,19.75
Al13Co4,2.0,IM,IM,1.38941176470588,0.0552586605299731,1129.83,353.993024225054,-13.6747404844291,2.25888191041689,0.545594573969184,1.67352941176471,0.114529275808856,4.41176470588235,2.54509501797458,100.470588235294,44.1149803115594,102.705882352941,37.5294117647059
Al5Co2,2.0,IM,IM,1.38028571428571,0.0592395214748993,1171.90714285714,377.00222510576,-15.5102040816327,1.57652909588569,0.598269588585257,1.68714285714286,0.121973566892209,4.71428571428571,2.71052370871575,105.714285714286,46.9824109510731,109.714285714286,40.0
Al9Co2,2.0,IM,IM,1.39909090909091,0.0498972036626765,1085.20272727273,321.873721147423,-11.3057851239669,2.9676171898633,0.474139313057837,1.65909090909091,0.104137544138382,4.09090909090909,2.31416764751961,94.9090909090909,40.1122392236732,95.2727272727273,34.9090909090909
AlCo,2.0,IM,IM,1.3415,0.0674617964964592,1350.735,417.265,-19.0,0.0,0.693147180559945,1.745,0.135,6.0,3.0,128.0,52.0,139.5,50.5
Al45Cr7,2.0,IM,IM,1.40736538461538,0.044380905414122,1101.27211538462,425.45601530926,-4.65976331360947,1.82268844023011,0.395067120830435,1.61673076923077,0.0170656147589411,3.40384615384615,1.02393688553647,87.3076923076923,28.6702327950212,98.1346153846154,37.9807692307692
Al2Cu,2.0,IM,IM,1.38066666666667,0.0525806104793473,1074.90333333333,200.016938171635,-0.888888888888889,0.0523782800878924,0.636514168294813,1.70666666666667,0.136707311029399,5.66666666666667,3.77123616632825,97.3333333333333,30.169889330626,90.0,33.3333333333333
Al4Cu3,2.0,IM,IM,1.366,0.0557908020007545,1115.31285714286,209.974045043278,-0.979591836734694,0.0100994216184775,0.682908104700472,1.73428571428571,0.143512781198564,6.42857142857143,3.95897327444315,103.428571428571,31.6717861955452,95.7142857142857,35.4285714285714
Al4Cu5,2.0,IM,IM,1.34644444444444,0.0568335481985423,1169.19222222222,210.83636507848,-0.987654320987654,0.00613461722222167,0.686961576597323,1.77111111111111,0.144102158549986,7.44444444444445,3.97523195999963,111.555555555556,31.801855679997,103.333333333333,38.2222222222222
AlEr2,2.0,IM,IM,1.648,0.092679044136101,1512.49,409.428968442635,-33.7777777777778,1.99037464333991,0.636514168294813,1.36333333333333,0.174419672692682,3.0,0.0,54.6666666666667,15.084944665313,70.0,27.5333333333333
Al2Fe,2.0,IM,IM,1.36833333333333,0.0658014105757031,1225.98,413.671609129754,-9.77777777777778,0.576161080966817,0.636514168294813,1.68333333333333,0.103708994574027,4.66666666666667,2.35702260395516,107.333333333333,44.312024954357,117.0,44.6666666666667
Al3In,2.0,IM,IM,1.48875,0.0660244388443552,807.54,218.117158197149,5.25,0.757772228311384,0.562335144618808,1.6525,0.0736121593216773,3.0,0.0,57.0,32.9089653438087,55.25,19.5
Al2La,2.0,IM,IM,1.581,0.133281354075643,1019.98,122.343615280896,-33.7777777777778,1.99037464333991,0.636514168294813,1.44,0.240416305603426,3.0,0.0,60.0,22.6274169979695,59.0,22.1
AlLa,2.0,IM,IM,1.6555,0.135004530353368,1063.235,129.765,-38.0,0.0,0.693147180559945,1.355,0.255,3.0,0.0,52.0,24.0,53.5,20.15
Al4Li9,2.0,IM,IM,1.49223076923077,0.0269086035362648,601.286923076923,221.455384615385,-3.40828402366864,0.273099681383705,0.617241769730342,1.17384615384615,0.290769230769231,1.61538461538462,0.923076923076923,31.0,30.0,24.9376923076923,10.9076923076923
Al12Mg17,2.0,IM,IM,1.53106896551724,0.0543637037194541,927.332413793103,5.15660383771337,-1.94054696789536,0.029281349905871,0.678209393903313,1.43413793103448,0.147753691625025,2.41379310344828,0.492512305416748,57.8275862068966,15.2678814679192,55.3448275862069,20.7241379310345
Al3Mg2,2.0,IM,IM,1.4996,0.0552098915084499,929.282,5.12923152138799,-1.92,0.0391918358845309,0.673011667009257,1.49,0.146969384566991,2.6,0.489897948556636,63.6,15.1868364052557,60.0,22.4
Al11Mn4,2.0,IM,IM,1.41013333333333,0.0257151316952668,1089.61133333333,258.93110846624,-14.8622222222222,1.82979418063459,0.579915171418101,1.594,0.0265329983228432,4.06666666666667,1.76886655485621,87.7333333333333,19.4575321034183,104.133333333333,19.0666666666667
Al2Mn,2.0,IM,IM,1.40466666666667,0.0275191058648774,1128.64666666667,276.021489058773,-16.8888888888889,0.995187321669956,0.636514168294813,1.59,0.0282842712474619,4.33333333333333,1.88561808316413,90.6666666666667,20.7417989148054,112.666666666667,17.3333333333333
Al4Mn,2.0,IM,IM,1.4156,0.0231703871150042,1050.576,234.212,-12.16,2.736,0.500402423538188,1.598,0.024,3.8,1.6,84.8,17.6,95.6,20.8
Al6Mn,2.0,IM,IM,1.42028571428571,0.0202029932516818,1017.11714285714,204.892818441691,-9.30612244897959,3.39215051843152,0.410116318288409,1.60142857142857,0.020995626366713,3.57142857142857,1.39970842444753,82.2857142857143,15.3967926689228,88.2857142857143,22.2857142857143
Al8Mn5,2.0,IM,IM,1.40046153846154,0.0284858583031755,1158.67384615385,284.862836670522,-17.9881656804734,0.492261702220112,0.666278442414676,1.58692307692308,0.0291902553246312,4.53846153846154,1.94601702164208,92.9230769230769,21.4061872380629,119.230769230769,16.0
Al9Mn11,2.0,IM,IM,1.3869,0.0294141502064831,1255.5115,291.29749702452,-18.81,0.0945238065251278,0.688138813713588,1.577,0.0298496231131986,5.2,1.98997487421324,100.2,21.8897236163456,140.4,11.7
AlMn,2.0,IM,IM,1.391,0.0294751976994967,1226.235,292.765,-19.0,0.0,0.693147180559945,1.58,0.03,5.0,2.0,98.0,22.0,134.0,13.0
AlMo,2.0,IM,IM,1.3975,0.0246869409660107,1914.735,981.265,-5.0,0.0,0.693147180559945,1.885,0.275,4.5,1.5,153.0,77.0,199.5,73.0
AlNd,2.0,IM,IM,1.536,0.0677083333333333,1115.235,181.765,-38.0,0.0,0.693147180559945,1.375,0.235,3.0,0.0,54.0,22.0,55.5,21.15
AlNi,2.0,IM,IM,1.339,0.0694548170276326,1330.735,397.265,-22.0,0.0,0.693147180559945,1.76,0.15,6.5,3.5,128.0,52.0,135.0,51.0
AlRe2,2.0,IM,IM,1.394,0.0192755076650565,2617.15666666667,1190.54625939337,-8.0,0.471404520791032,0.636514168294813,1.80333333333333,0.136707311029399,5.66666666666667,1.88561808316413,272.0,138.592929112563,332.0,127.333333333333
Al13Ru4,2.0,IM,IM,1.40988235294118,0.0282811932487996,1327.24176470588,709.8821442385,-15.1141868512111,2.49665895361866,0.545594573969184,1.74882352941176,0.2502676767675,4.17647058823529,2.12091251497882,109.882352941176,61.0822804313899,158.705882352941,60.5882352941176
Al2Ru,2.0,IM,IM,1.40066666666667,0.0316363814524204,1491.31333333333,788.909607679415,-18.6666666666667,1.09994388184574,0.636514168294813,1.80666666666667,0.278128667266709,4.66666666666667,2.35702260395516,124.0,67.8822509939086,195.666666666667,75.0
Al3Ru2,2.0,IM,IM,1.3944,0.0330252489703985,1602.882,819.858913847986,-20.16,0.411514276787574,0.673011667009257,1.846,0.289039789648415,5.0,2.44948974278318,133.6,70.5453045921555,220.8,84.8
Al17Sb3,2.0,IM,IM,1.4587,0.0435721622088376,929.0165,10.6014505021719,1.02,0.3499299929986,0.422709087805991,1.676,0.157111425427943,3.3,0.714142842854285,70.9,12.1404283285228,67.75,25.1
AlSb,2.0,IM,IM,1.521,0.0585141354372124,918.625,14.845,2.0,0.0,0.693147180559945,1.83,0.22,4.0,1.0,59.0,17.0,62.5,23.0
Al11Sm3,2.0,IM,IM,1.513,0.102513675780917,1021.655,168.861418994985,-25.5918367346939,5.09139080043021,0.519579839130515,1.51571428571429,0.180543397462624,3.0,0.0,67.8571428571429,15.5923843263175,65.7142857142857,24.6071428571429
Al2Sm,2.0,IM,IM,1.558,0.11437157179654,1070.64666666667,193.997102441133,-33.7777777777778,1.99037464333991,0.636514168294813,1.46333333333333,0.207417989148054,3.0,0.0,63.3333333333333,17.9133717900592,63.3333333333333,23.8333333333333
Al3Ti,2.0,IM,IM,1.4395,0.00902423136975796,1185.3525,436.273287537468,-22.5,3.24759526419165,0.562335144618808,1.5925,0.0303108891324554,3.25,0.433012701892219,84.5,14.7224318643355,81.5,30.5
AlTi,2.0,IM,IM,1.447,0.0103662750518314,1437.235,503.765,-30.0,0.0,0.693147180559945,1.575,0.035,3.5,0.5,93.0,17.0,93.0,35.0
Al3V,2.0,IM,IM,1.403,0.0358014778471115,1245.8525,541.062361395385,-12.0,1.73205080756888,0.562335144618808,1.615,0.0086602540378443,3.5,0.866025403784439,97.0,36.3730669589464,84.5,31.25
Al8V5,2.0,IM,IM,1.38738461538462,0.0406768916144967,1414.05846153846,607.901662263107,-15.1479289940828,0.41453617029062,0.666278442414676,1.61769230769231,0.0097300851082103,3.76923076923077,0.97300851082104,108.307692307692,40.8663574544837,92.3076923076923,34.0769230769231
Al3Yb,2.0,IM,IM,1.499,0.0774165471028117,974.3525,70.8105671404346,-15.0,2.1650635094611,0.562335144618808,1.4825,0.220836477965032,3.0,0.0,64.75,19.4855715851499,58.5,21.975
Al2Zr3,2.0,IM,IM,1.5346,0.0545891758133617,1650.188,585.197796489358,-42.24,0.862220389459681,0.673011667009257,1.442,0.137171425595858,3.6,0.489897948556636,30.4,37.2322440903043,68.2,30.2
Al3Zr,2.0,IM,IM,1.47475,0.0502086265628544,1232.1025,517.246662791313,-33.0,4.76313972081441,0.562335144618808,1.54,0.121243556529821,3.25,0.433012701892219,57.0,32.9089653438087,69.25,27.75
Al3Zr4,2.0,IM,IM,1.52971428571429,0.0553195158935895,1616.05857142857,591.139043190072,-43.1020408163265,0.444374551213011,0.682908104700472,1.45,0.13856406460551,3.57142857142857,0.494871659305394,32.5714285714286,37.6102461072099,68.2857142857143,30.0
AuBe5,2.0,IM,IM,1.18033333333333,0.0991422401772005,1522.88833333333,82.9842094249797,0.0,0.0,0.450561208866305,1.73166666666667,0.361497656362466,3.5,3.35410196624968,145.0,33.5410196624968,252.166666666667,114.5
Au2Bi,2.0,IM,IM,1.478,0.0344463384610497,1073.12,373.649365314595,1.77777777777778,0.104756560175785,0.636514168294813,2.36666666666667,0.245130350811336,9.0,2.82842712474619,157.0,89.095454429505,62.6666666666667,22.0
AuCu,2.0,IM,IM,1.36,0.0602941176470588,1347.55,10.22,-9.0,0.0,0.693147180559945,2.22,0.32,11.0,0.0,180.0,40.0,104.0,37.5
AuCu3,2.0,IM,IM,1.319,0.0538393351859924,1352.66,8.85077962667699,-6.75,0.974278579257494,0.562335144618808,2.06,0.27712812921102,11.0,0.0,160.0,34.6410161513776,117.0,42.75
AuGa2,2.0,IM,IM,1.40866666666667,0.016732294869535,647.716666666667,487.630264396659,-16.8888888888889,0.995187321669956,0.636514168294813,2.05333333333333,0.344125300177453,5.66666666666667,3.77123616632825,73.3333333333333,103.708994574027,26.0,9.0
Au3In2,2.0,IM,IM,1.5288,0.0695367967273614,974.298,444.621580151031,-10.56,0.21555509736492,0.673011667009257,2.236,0.372322440903043,7.8,3.91918358845309,132.0,107.77754868246,51.2,16.2
Au2Pb,2.0,IM,IM,1.54466666666667,0.0939960675897525,1091.75666666667,347.293138557169,1.77777777777778,0.104756560175785,0.636514168294813,2.47,0.0989949493661166,8.66666666666667,3.29983164553722,162.0,82.0243866176395,57.3333333333333,19.8666666666667
AuPb2,2.0,IM,IM,1.64733333333333,0.0881379557286349,846.183333333333,347.293138557169,1.77777777777778,0.104756560175785,0.636514168294813,2.4,0.0989949493661166,6.33333333333333,3.29983164553722,104.0,82.0243866176395,36.6666666666667,12.7333333333333
AuPb3,2.0,IM,IM,1.673,0.0797178195952203,784.79,319.009117738036,1.5,0.21650635094611,0.562335144618808,2.3825,0.0909326673973661,5.75,3.03108891324554,89.5,75.3442101292462,31.5,10.95
AuSb2,2.0,IM,IM,1.554,0.0509626508963277,1048.29666666667,204.377429988952,-3.55555555555556,0.20951312035157,0.636514168294813,2.21333333333333,0.230988215187606,7.0,2.82842712474619,101.333333333333,83.9100047008036,62.6666666666667,22.3333333333333
Au9Sn,2.0,IM,IM,1.4598,0.0365803534730786,1254.105,249.675,-3.6,1.92,0.325082973391448,2.482,0.174,10.3,2.1,203.8,48.6,75.2,26.1
AuSn,2.0,IM,IM,1.531,0.0581319399085565,921.205,416.125,-10.0,0.0,0.693147180559945,2.25,0.29,7.5,3.5,139.0,81.0,64.0,22.5
AuSn2,2.0,IM,IM,1.56066666666667,0.0537654878475889,782.496666666667,392.326412428336,-8.88888888888889,0.523782800878924,0.636514168294813,2.15333333333333,0.273414622058798,6.33333333333333,3.29983164553722,112.0,76.3675323681471,59.3333333333333,21.0
AuSn4,2.0,IM,IM,1.5844,0.0449381469325928,671.53,332.9,-6.4,1.44,0.500402423538188,2.076,0.232,5.4,2.8,90.4,64.8,55.6,19.8
B4Co,2.0,IM,IM,0.9062,0.190244979033326,2232.8,232.4,-15.36,3.456,0.500402423538188,2.008,0.0640000000000001,4.2,2.4,215.2,17.6,41.8,15.0
BCo2,2.0,IM,IM,1.10733333333333,0.18348165122902,1961.66666666667,273.886026579589,-21.3333333333333,1.25707872210942,0.636514168294813,1.93333333333333,0.0754247233265651,7.0,2.82842712474619,194.666666666667,20.7417989148054,139.333333333333,50.0
BCr2,2.0,IM,IM,1.106,0.18285039730502,2236.33333333333,79.6673640136844,-27.5555555555556,1.62372668272467,0.636514168294813,1.78666666666667,0.179133717900592,5.0,1.4142135623731,181.333333333333,30.169889330626,186.0,76.6666666666667
BNi2,2.0,IM,IM,1.104,0.181900657479148,1935.0,292.742207411231,-21.3333333333333,1.25707872210942,0.636514168294813,1.95333333333333,0.0612825877028342,7.66666666666667,3.29983164553722,194.666666666667,20.7417989148054,133.333333333333,50.6666666666667
BNi3,2.0,IM,IM,1.1395,0.161881010097486,1883.25,268.900887875068,-18.0,2.59807621135332,0.562335144618808,1.9425,0.0562916512459886,8.25,3.03108891324554,191.0,19.0525588832577,150.0,57.0
Be3Nb,2.0,IM,IM,1.20325,0.108320650961611,1857.5,515.285115251741,-18.75,2.70632938682637,0.562335144618808,1.5775,0.0129903810567666,2.75,1.29903810567666,140.0,17.3205080756888,241.5,108.5
Be17Ti2,2.0,IM,IM,1.16315789473684,0.0881238883655353,1600.10526315789,116.925930101898,-11.3019390581717,5.73828915150981,0.336495757583516,1.56684210526316,0.00920676614975575,2.21052631578947,0.613784409983716,127.894736842105,6.13784409983716,269.0,122.736842105263
Be2Ti,2.0,IM,IM,1.23933333333333,0.127043391563371,1687.0,179.605122421383,-26.6666666666667,1.57134840263677,0.636514168294813,1.56,0.014142135623731,2.66666666666667,0.942809041582063,123.333333333333,9.42809041582063,230.0,102.666666666667
Bi2Mg3,2.0,IM,IM,1.5806,0.0158071589120514,771.68,185.328393938975,-9.6,0.195959179422654,0.673011667009257,1.594,0.347827543475211,3.2,1.46969384566991,39.4,6.8585712797929,39.8,15.0
Bi3Pb7,2.0,IM,IM,1.69,0.0542316650290632,583.837,25.6211807104981,0.0,0.0,0.610864302054894,2.237,0.142059846543631,4.3,0.458257569495584,41.5,6.87386354243376,20.8,7.52
CaCu5,2.0,IM,IM,1.39433333333333,0.1865617318067,1317.30833333333,90.475037149604,-7.22222222222222,2.1532506449998,0.450561208866305,1.75,0.335410196624968,9.5,3.35410196624968,119.5,45.8393935387457,111.666666666667,41.2333333333333
CaZn13,2.0,IM,IM,1.4365,0.10416315901967,722.845714285714,108.764029618139,-5.83673469387755,4.16267727429662,0.257318640543832,1.60357142857143,0.167400594932257,11.2857142857143,2.57539376818856,66.2142857142857,13.6495869713994,101.714285714286,40.4571428571429
Cd10Cu3,2.0,IM,IM,1.50107692307692,0.0813977358186422,770.423846153846,321.702737525438,4.2603550295858,0.732955994112512,0.540204142388861,1.73846153846154,0.0884782592892961,11.7692307692308,0.421325044234743,64.6153846153846,41.2898543350048,68.4615384615385,25.6923076923077
Cd3Cu4,2.0,IM,IM,1.40228571428571,0.102342040382024,1030.53428571429,377.859255462633,5.87755102040816,0.0605965297108648,0.682908104700472,1.81,0.103923048454133,11.4285714285714,0.494871659305394,98.0,48.4974226119286,95.7142857142857,35.5714285714286
Cd3Mg,2.0,IM,IM,1.57625,0.00906545228386567,676.415,142.365916128124,-4.5,0.649519052838329,0.562335144618808,1.595,0.164544826719043,9.5,4.33012701892219,42.75,1.29903810567666,48.75,18.5
CdMg,2.0,IM,IM,1.5845,0.0104133796150205,758.61,164.39,-6.0,0.0,0.693147180559945,1.5,0.19,7.0,5.0,43.5,1.5,47.5,18.0
CdMg3,2.0,IM,IM,1.59275,0.00897153926381612,840.805,142.365916128124,-4.5,0.649519052838329,0.562335144618808,1.405,0.164544826719043,4.5,4.33012701892219,44.25,1.29903810567666,46.25,17.5
CdSn10,2.0,IM,IM,1.61527272727273,0.00925475226974085,513.183636363636,25.6259482388554,0.0,0.0,0.304636097349238,1.93545454545455,0.0776195425677693,4.72727272727273,2.29983829830428,56.5454545454546,4.59967659660855,50.0,18.0909090909091
Co3Sn2,2.0,IM,IM,1.3986,0.129252354509795,1262.832,618.701917191146,0.0,0.0,0.673011667009257,1.912,0.0391918358845309,7.0,2.44948974278318,131.2,59.7675497239095,145.4,52.2
CoTi,2.0,IM,IM,1.3565,0.0777736822705493,1854.5,86.5,-28.0,0.0,0.693147180559945,1.71,0.17,6.5,2.5,145.0,35.0,162.5,59.5
Co2V3,2.0,IM,IM,1.29,0.024684780353629,2017.0,203.307648651004,-13.44,0.274342851191716,0.673011667009257,1.73,0.122474487139159,6.6,1.95959179422654,168.0,9.79795897113271,160.4,58.2
CoZn,2.0,IM,IM,1.323,0.0544217687074831,1230.34,537.66,-5.0,0.0,0.693147180559945,1.765,0.115,10.5,1.5,125.0,55.0,158.5,59.0
CrFe,2.0,IM,IM,1.245,0.00321285140562244,1995.5,184.5,-1.0,0.0,0.693147180559945,1.745,0.0850000000000001,7.0,1.0,165.0,5.0,245.0,98.5
Cr2Mn11,2.0,IM,IM,1.33446153846154,0.0273075854128526,1620.69230769231,238.489601326407,1.0414201183432,0.34585678338252,0.429323021930616,1.56692307692308,0.0396881333523521,6.84615384615385,0.36080121229411,126.153846153846,14.4320484917644,210.461538461538,17.6923076923077
Cr3Si,2.0,IM,IM,1.225,0.0339340566380842,2056.75,213.475262032864,-27.75,4.00536749250303,0.562335144618808,1.72,0.103923048454133,5.5,0.866025403784439,145.0,25.9807621135332,221.0,86.25
CrSi2,2.0,IM,IM,1.185,0.0381897333299065,1851.33333333333,232.402428749979,-32.8888888888889,1.93799636325202,0.636514168294813,1.82,0.113137084989848,4.66666666666667,0.942809041582063,120.0,28.2842712474619,124.333333333333,38.3333333333333
Cu4Ce,2.0,IM,IM,1.3874,0.157705059824132,1299.816,115.908,-13.44,3.024,0.500402423538188,1.744,0.312,9.4,3.2,116.4,47.2,110.8,41.1
Cu5Ce,2.0,IM,IM,1.36916666666667,0.148889736298525,1309.475,107.990902973352,-11.6666666666667,3.47832796499967,0.450561208866305,1.77,0.290688837074973,9.66666666666667,2.98142396999972,120.333333333333,43.9760035574959,114.0,42.25
CuDy,2.0,IM,IM,1.526,0.162516382699869,1518.885,161.115,-22.0,0.0,0.693147180559945,1.56,0.34,7.0,4.0,90.5,49.5,95.5,36.35
CuEr,2.0,IM,IM,1.517,0.157547791694133,1579.885,222.115,-23.0,0.0,0.693147180559945,1.57,0.33,7.0,4.0,92.0,48.0,100.0,38.15
Cu3Ge,2.0,IM,IM,1.2685,0.012971606363346,1321.1775,63.3800691759641,-8.625,1.24491151794013,0.562335144618808,1.9275,0.0476313972081441,9.25,3.03108891324554,105.0,60.6217782649107,97.5,36.0
Cu51Hf14,2.0,IM,IM,1.34261538461538,0.0918555463450491,1605.08107692308,472.024606441796,-11.4915976331361,2.26444306396976,0.52100404091788,1.77076923076923,0.246653339370229,9.49230769230769,2.87762229265267,133.538461538462,12.3326669685114,118.8,44.1230769230769
Cu11In9,2.0,IM,IM,1.44945,0.130770365841396,940.161,461.684120691843,9.9,0.0497493718553308,0.688138813713588,1.846,0.0596992462263971,7.4,3.97994974842648,77.0,69.6491205974634,76.45,26.4
Cu2In,2.0,IM,IM,1.405,0.12783282734618,1048.43,437.472823384493,8.88888888888889,0.523782800878924,0.636514168294813,1.86,0.0565685424949238,8.33333333333333,3.77123616632825,93.3333333333333,65.9966329107444,90.3333333333333,32.0
Cu4In,2.0,IM,IM,1.3542,0.112538768276473,1172.166,371.208,6.4,1.44,0.500402423538188,1.876,0.048,9.4,3.2,112.0,56.0,106.2,38.4
Cu9In4,2.0,IM,IM,1.39523076923077,0.126033741316573,1072.22538461538,428.316923076923,8.5207100591716,0.682749203459262,0.617241769730342,1.86307692307692,0.0553846153846153,8.53846153846154,3.69230769230769,96.9230769230769,64.6153846153846,93.3846153846154,33.2307692307692
Cu2Mg,2.0,IM,IM,1.38566666666667,0.109884768016962,1212.84666666667,204.952543504317,-2.66666666666667,0.157134840263677,0.636514168294813,1.70333333333333,0.278128667266709,8.0,4.24264068711929,108.333333333333,44.783429475148,101.666666666667,37.6666666666667
CuMg2,2.0,IM,IM,1.49333333333333,0.101962272465739,1067.92333333333,204.952543504317,-2.66666666666667,0.157134840263677,0.636514168294813,1.50666666666667,0.278128667266709,5.0,4.24264068711929,76.6666666666667,44.783429475148,73.3333333333333,27.3333333333333
Cu2Sb,2.0,IM,IM,1.38866666666667,0.112702569060938,1206.44,214.01293839392,6.22222222222222,0.366647960615247,0.636514168294813,1.95,0.0707106781186547,9.0,2.82842712474619,107.333333333333,46.1976430375211,105.0,38.6666666666667
Cu3Sb,2.0,IM,IM,1.361,0.105628374010446,1244.2725,196.583436532049,5.25,0.757772228311384,0.562335144618808,1.9375,0.0649519052838329,9.5,2.59807621135332,115.5,42.4352447854375,111.25,41.0
Cu0.76Si0.24,2.0,IM,IM,1.248,0.0427767558174331,1436.7852,140.608578916651,-13.8624,2.19418228910544,0.551079928086973,1.9,0.0,9.32,2.98958191056877,130.4,17.0833252032501,110.08,36.48
Cu10Sn3,2.0,IM,IM,1.35692307692308,0.106191108087736,1160.99538461538,359.259651968523,4.97041420118343,0.855115326464597,0.540204142388861,1.91384615384615,0.0252795026540846,9.38461538461539,2.9492753096432,121.076923076923,34.5486536272489,111.538461538462,41.0769230769231
Cu17Sn3,2.0,IM,IM,1.3293,0.091866716413212,1229.8665,304.47123033671,3.57,1.2247549754951,0.422709087805991,1.909,0.0214242852856286,9.95,2.49949994999,127.7,29.2798565570257,118.0,43.5
Cu2Ti,2.0,IM,IM,1.33933333333333,0.0647623931002114,1552.18,274.937258660953,-8.0,0.471404520791032,0.636514168294813,1.78,0.169705627484771,8.66666666666667,3.29983164553722,130.0,14.142135623731,125.333333333333,46.6666666666667
